threshold,precision,recall,fbeta,true_positives,false_positives,false_negatives,true_negatives,alert_rate
0.05,0.2915,0.9559,0.6566,65,158,3,1774,0.1115
0.055,0.3005,0.9412,0.6598,64,149,4,1783,0.1065
0.06,0.3134,0.9265,0.666,63,138,5,1794,0.1005
0.065,0.3281,0.9265,0.6789,63,129,5,1803,0.096
0.07,0.352,0.9265,0.6984,63,116,5,1816,0.0895
0.075,0.36,0.9265,0.7047,63,112,5,1820,0.0875
0.08,0.3684,0.9265,0.7111,63,108,5,1824,0.0855
0.085,0.3735,0.9118,0.7078,62,104,6,1828,0.083
0.09,0.3875,0.9118,0.7176,62,98,6,1834,0.08
0.095,0.391,0.8971,0.7126,61,95,7,1837,0.078
0.1,0.3987,0.8971,0.7176,61,92,7,1840,0.0765
0.105,0.4067,0.8971,0.7227,61,89,7,1843,0.075
0.11,0.4178,0.8971,0.7297,61,85,7,1847,0.073
0.115,0.442,0.8971,0.7439,61,77,7,1855,0.069
0.12,0.4519,0.8971,0.7494,61,74,7,1858,0.0675
0.125,0.4688,0.8824,0.75,60,68,8,1864,0.064
0.13,0.472,0.8676,0.7431,59,66,9,1866,0.0625
0.135,0.4836,0.8676,0.7487,59,63,9,1869,0.061
0.14,0.4958,0.8676,0.7545,59,60,9,1872,0.0595
0.145,0.5043,0.8676,0.7584,59,58,9,1874,0.0585
0.15,0.5043,0.8676,0.7584,59,58,9,1874,0.0585
0.155,0.513,0.8676,0.7623,59,56,9,1876,0.0575
0.16,0.5315,0.8676,0.7702,59,52,9,1880,0.0555
0.165,0.5364,0.8676,0.7723,59,51,9,1881,0.055
0.17,0.5413,0.8676,0.7743,59,50,9,1882,0.0545
0.175,0.5673,0.8676,0.7846,59,45,9,1887,0.052
0.18,0.58,0.8529,0.7796,58,42,10,1890,0.05
0.185,0.58,0.8529,0.7796,58,42,10,1890,0.05
0.19,0.5859,0.8529,0.7817,58,41,10,1891,0.0495
0.195,0.5918,0.8529,0.7838,58,40,10,1892,0.049
0.2,0.6105,0.8529,0.7902,58,37,10,1895,0.0475
0.205,0.6304,0.8529,0.7967,58,34,10,1898,0.046
0.21,0.6304,0.8529,0.7967,58,34,10,1898,0.046
0.215,0.6591,0.8529,0.8056,58,30,10,1902,0.044
0.22,0.6667,0.8529,0.8078,58,29,10,1903,0.0435
0.225,0.6824,0.8529,0.8123,58,27,10,1905,0.0425
0.23,0.6905,0.8529,0.8146,58,26,10,1906,0.042
0.235,0.6988,0.8529,0.8169,58,25,10,1907,0.0415
0.24,0.725,0.8529,0.8239,58,22,10,1910,0.04
0.245,0.725,0.8529,0.8239,58,22,10,1910,0.04
0.25,0.7436,0.8529,0.8286,58,20,10,1912,0.039
0.255,0.7532,0.8529,0.8309,58,19,10,1913,0.0385
0.26,0.7733,0.8529,0.8357,58,17,10,1915,0.0375
0.265,0.7838,0.8529,0.8382,58,16,10,1916,0.037
0.27,0.7838,0.8529,0.8382,58,16,10,1916,0.037
0.275,0.7838,0.8529,0.8382,58,16,10,1916,0.037
0.28,0.7838,0.8529,0.8382,58,16,10,1916,0.037
0.285,0.7945,0.8529,0.8406,58,15,10,1917,0.0365
0.29,0.8056,0.8529,0.843,58,14,10,1918,0.036
0.295,0.8286,0.8529,0.848,58,12,10,1920,0.035
0.3,0.8286,0.8529,0.848,58,12,10,1920,0.035
0.305,0.8286,0.8529,0.848,58,12,10,1920,0.035
0.31,0.8286,0.8529,0.848,58,12,10,1920,0.035
0.315,0.8406,0.8529,0.8504,58,11,10,1921,0.0345
0.32,0.8529,0.8529,0.8529,58,10,10,1922,0.034
0.325,0.8529,0.8529,0.8529,58,10,10,1922,0.034
0.33,0.8657,0.8529,0.8555,58,9,10,1923,0.0335
0.335,0.8657,0.8529,0.8555,58,9,10,1923,0.0335
0.34,0.8657,0.8529,0.8555,58,9,10,1923,0.0335
0.345,0.8657,0.8529,0.8555,58,9,10,1923,0.0335
0.35,0.8788,0.8529,0.858,58,8,10,1924,0.033
0.355,0.8769,0.8382,0.8457,57,8,11,1924,0.0325
0.36,0.8769,0.8382,0.8457,57,8,11,1924,0.0325
0.365,0.8906,0.8382,0.8482,57,7,11,1925,0.032
0.37,0.8906,0.8382,0.8482,57,7,11,1925,0.032
0.375,0.8906,0.8382,0.8482,57,7,11,1925,0.032
0.38,0.9048,0.8382,0.8507,57,6,11,1926,0.0315
0.385,0.9048,0.8382,0.8507,57,6,11,1926,0.0315
0.39,0.9048,0.8382,0.8507,57,6,11,1926,0.0315
0.395,0.9194,0.8382,0.8533,57,5,11,1927,0.031
0.4,0.9194,0.8382,0.8533,57,5,11,1927,0.031
0.405,0.918,0.8235,0.8408,56,5,12,1927,0.0305
0.41,0.9167,0.8088,0.8283,55,5,13,1927,0.03
0.415,0.9167,0.8088,0.8283,55,5,13,1927,0.03
0.42,0.9167,0.8088,0.8283,55,5,13,1927,0.03
0.425,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.43,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.435,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.44,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.445,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.45,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.455,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.46,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.465,0.9322,0.8088,0.8308,55,4,13,1928,0.0295
0.47,0.931,0.7941,0.8182,54,4,14,1928,0.029
0.475,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.48,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.485,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.49,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.495,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.5,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.505,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.51,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.515,0.9474,0.7941,0.8207,54,3,14,1929,0.0285
0.52,0.9636,0.7794,0.8104,53,2,15,1930,0.0275
0.525,0.9636,0.7794,0.8104,53,2,15,1930,0.0275
